sample_id,concept,signer_id,timestamp,duration_ms,frames_count,quality_status
PENSION_signer_01_183704,PENSION,signer_01,1788362183704,2500,81,good
PENSION_signer_01_176968,PENSION,signer_01,1788362176969,2500,76,good
GO_signer_01_170098,GO,signer_01,1788362170098,2500,100,good
GO_signer_01_126831,GO,signer_01,1788362126831,2500,82,good
GO_signer_01_120663,GO,signer_01,1788362120663,2500,85,good
COME_signer_01_114513,COME,signer_01,1788362114514,2500,94,good
COME_signer_01_981292,COME,signer_01,1788361981292,2500,88,good
COME_signer_01_974659,COME,signer_01,1788361974659,2500,82,good
WAIT_signer_01_967934,WAIT,signer_01,1788361967934,2500,99,good
WAIT_signer_01_938461,WAIT,signer_01,1788361938461,2500,92,good
WAIT_signer_01_930164,WAIT,signer_01,1788361930164,2500,102,good
SUBMIT_signer_01_920469,SUBMIT,signer_01,1788361920469,2500,111,good
SUBMIT_signer_01_877356,SUBMIT,signer_01,1788361877356,2500,103,good
SUBMIT_signer_01_871211,SUBMIT,signer_01,1788361871212,2500,102,good
GIVE_signer_01_862029,GIVE,signer_01,1788361862029,2500,109,good
GIVE_signer_01_833551,GIVE,signer_01,1788361833551,2500,108,good
GIVE_signer_01_827347,GIVE,signer_01,1788361827347,2500,116,good
GIVE_signer_01_821215,GIVE,signer_01,1788361821215,2500,120,good
SHOW_signer_01_777622,SHOW,signer_01,1788361777622,2500,119,good
SHOW_signer_01_771646,SHOW,signer_01,1788361771646,2500,125,good
BRING_signer_01_765505,BRING,signer_01,1788361765506,2500,129,good
BRING_signer_01_734163,BRING,signer_01,1788361734163,2500,126,good
BRING_signer_01_727130,BRING,signer_01,1788361727130,2500,132,good
SIGNATURE_signer_01_720150,SIGNATURE,signer_01,1788361720150,2500,137,good
SIGNATURE_signer_01_672916,SIGNATURE,signer_01,1788361672916,2500,139,good
SIGNATURE_signer_01_666476,SIGNATURE,signer_01,1788361666476,2500,144,good
DOCUMENT_signer_01_659797,DOCUMENT,signer_01,1788361659798,2500,146,good
DOCUMENT_signer_01_575245,DOCUMENT,signer_01,1788361575245,2500,141,good
DOCUMENT_signer_01_562406,DOCUMENT,signer_01,1788361562406,2500,144,good
CARD_signer_01_549240,CARD,signer_01,1788361549240,2500,147,good
CARD_signer_01_470307,CARD,signer_01,1788361470307,2500,146,good
CARD_signer_01_461969,CARD,signer_01,1788361461969,2500,147,good
AADHAAR_signer_01_455186,AADHAAR,signer_01,1788361455186,2500,149,good
AADHAAR_signer_01_436679,AADHAAR,signer_01,1788361436679,2500,148,good
AADHAAR_signer_01_421657,AADHAAR,signer_01,1788361421657,2500,149,good
AADHAAR_signer_01_405211,AADHAAR,signer_01,1788361405211,2500,148,good
